date 	 | 	 code Article | n°OF | N°Panne | Composant Concerné | Commentaire 

2024-05-23 11:54:39	886177871 | 791036 | 38 | 4261 | 61633276852678856954951451278751292538748928
2024-05-23 11:54:39	328491875 | 5779 | 27 | 98 | 3467057323606406341869437631830126171743752160074550688008372224
2024-05-23 11:54:39	378067452 | 419366 | 64 | 506 | 739477
2024-05-23 11:54:39	787281360 | 11113 | 44 | 1 | 4178406250280124981528394087792640
2024-05-23 11:54:39	245363985 | 44412356 | 15 | 5 | 81695715418148524910033502208
2024-05-23 11:54:39	633239348 | 1317 | 73 | 1405 | 374684
2024-05-23 11:54:39	243036195 | 8305475 | 72 | 13 | 21286299349054651654122635096373476078464006094848
2024-05-23 11:54:39	290846644 | 6673 | 73 | 4 | 7804336807735311545665463373789048688112033948995284659462200103557253929134729253410062729216
2024-05-23 11:54:39	688460915 | 15050 | 86 | 2130 | 7121196971161899237396391814197318279746775462919012352
2024-05-23 11:54:39	829268535 | 55276 | 18 | 11 | 2652022665099211702196749859760947769509209212478413820919808
2024-05-23 11:54:39	970511352 | 11945 | 80 | 774 | 39159710611148201669382791766883696640
2024-05-23 11:54:39	377199813 | 99625888 | 49 | 224 | 84398714743029808362371857872466381991937841744865709411726321693153860517888
2024-05-23 11:54:39	788466215 | 9891 | 95 | 7 | 7754535273780113373742262316138405924525307854848
2024-05-23 11:54:39	149050079 | 83985 | 62 | 344 | 2464292838049526297846561123308787841463456693596717056
2024-05-23 11:54:39	233329027 | 1646607 | 79 | 6 | 9951962902511858269266503658723604299555144728576
2024-05-23 11:54:39	162004257 | 1086041 | 14 | 4767 | 5630785067947185800403704324018532511518987606629088535192272896
2024-05-23 11:54:39	160410324 | 95354 | 21 | 930 | 894460538268710056251250848768720896
2024-05-23 11:54:39	821438565 | 635896 | 96 | 3 | 32084314931355167476294170780631024587794406376915898102134159145529493618569166379503155412992
2024-05-23 11:54:39	691515952 | 1582718 | 95 | 4401 | 818015639717943103170148976956538880
2024-05-23 11:54:39	939880164 | 4824151 | 19 | 723 | 434070941780651215666834135556170519359501893632
2024-05-23 11:54:39	560559656 | 36858 | 44 | 19 | 24525489278690037300547257060619939888630533525126991139911709866472767488
2024-05-23 11:54:39	206758892 | 2363 | 26 | 4 | 1021265457372992806977430229980595557910545414348232883961856
2024-05-23 11:54:39	375495275 | 71516 | 59 | 80 | 35340
2024-05-23 11:54:39	737978943 | 16164 | 41 | 6259 | 31102453341504481001472
2024-05-23 11:54:39	193526936 | 6713 | 78 | 179 | 1012905472307746832384
2024-05-23 11:54:39	557656115 | 534187 | 20 | 51 | 5158944537072062464
2024-05-23 11:54:39	845551437 | 327245 | 80 | 7 | 12731346722595866624
2024-05-23 11:54:39	419132110 | 5207783 | 23 | 99 | 232679573784184209164674753197830826835892919578162729493382438326468148723712
2024-05-23 11:54:39	299723690 | 61353333 | 66 | 172 | 796629467236732211043358491889631232
2024-05-23 11:54:39	977848442 | 40088 | 33 | 6589 | 9834672154379857827772793894135245603017147604223550891313331144241039202613283771180384256
2024-05-23 11:54:39	652653471 | 7628149 | 62 | 800 | 10501204855801850837915133234118656
2024-05-23 11:54:39	659935663 | 129688 | 78 | 73 | 218922
2024-05-23 11:54:39	380478643 | 1908034 | 22 | 5972 | 14958975139853758885624393246964760740741622229587677629382656
2024-05-23 11:54:39	527373982 | 592578 | 96 | 2696 | 721877463302489600
2024-05-23 11:54:39	107701728 | 65606013 | 82 | 4065 | 44530047586200402048942615487830525214720
2024-05-23 11:54:39	820778173 | 88061 | 40 | 3 | 6613902884376771683753683533844815699168142316533230922985635840
2024-05-23 11:54:39	915826715 | 61506 | 82 | 67 | 3765556854933618175720551446491407168721915127521966573005614088192
2024-05-23 11:54:39	186512202 | 810581 | 43 | 951 | 176154507359648902830727755198365696
2024-05-23 11:54:39	979791549 | 427732 | 57 | 385 | 43549912659573553087918801142018466662425773945859599423170074243336045208179916668928
2024-05-23 11:54:39	725002041 | 3984607 | 78 | 6 | 1620030163850572173088819249656990486894012802831220736
2024-05-23 11:54:39	768721054 | 7219125 | 28 | 54 | 92946325430130733912069843556060758105035643356072019565571277634666496
2024-05-23 11:54:39	561240820 | 12521592 | 88 | 165 | 403525
2024-05-23 11:54:39	562009093 | 47720 | 58 | 1224 | 70587814218359270018098397005359898154382872605487929537237087255681086301409651168641024
2024-05-23 11:54:39	276318303 | 796336 | 64 | 1721 | 713705743172248354840802102704473187688216681568063915179928908577540983126010364410031497740275417088
2024-05-23 11:54:39	184850019 | 8977 | 18 | 7 | 6373113841128075679481817458599614099622751395901258171303860611053971832832000
2024-05-23 11:54:39	774142982 | 96271 | 99 | 6 | 2507852580320424
2024-05-23 11:54:39	806105693 | 82090 | 15 | 9313 | 21259215
2024-05-23 11:54:39	770844256 | 81372753 | 40 | 54 | 188728112166934310686757606241400861543417537407389067654200734863515469178735156843342788161664188416
2024-05-23 11:54:39	912707045 | 8453232 | 75 | 4036 | 58854690387803672820557220795174545784832
2024-05-23 11:54:39	466515398 | 11689186 | 19 | 1681 | 600495120012290033591812140037239209984
2024-05-23 11:54:39	999798156 | 69396645 | 99 | 74 | 599525683073652029310784982706188688814655200559104
2024-05-23 11:54:39	774534529 | 915969 | 88 | 9838 | 59163903816260951626925390763242108208225204601910270560997212160
2024-05-23 11:54:39	703038218 | 1908208 | 86 | 23 | 324784280947511949575967952781532547845092044636983456673717557024209764352
2024-05-23 11:54:39	117355905 | 8036039 | 98 | 2 | 92750687703969877181247791136191283200
2024-05-23 11:54:39	269415992 | 8421771 | 82 | 5 | 61431690
2024-05-23 11:54:39	130799210 | 7585 | 63 | 920 | 733024324381600196168562794300741657938957371965440
2024-05-23 11:54:39	201543167 | 5827951 | 37 | 6 | 726467070293685520093615406792833951416811577036763037696
2024-05-23 11:54:39	632183280 | 78675388 | 64 | 7631 | 31936443153879477700992240147665065019965440
2024-05-23 11:54:39	513593834 | 3970008 | 52 | 16 | 997713726946574753463193585784218504153654008157869209000074976390114707553620860554182656
2024-05-23 11:54:39	140736732 | 9936 | 16 | 71 | 51338205592976501809547837440000
2024-05-23 11:54:39	129133457 | 2931 | 10 | 1 | 754126043593885702745953852076304669026034061680452862952218789168532904066532382331830091644928
2024-05-23 11:54:39	475841168 | 7883788 | 49 | 39 | 19898022140229993898180608
2024-05-23 11:54:39	870503892 | 4856230 | 59 | 4079 | 318948649482187826809945456640
2024-05-23 11:54:39	630725586 | 197249 | 52 | 2099 | 3894513927
2024-05-23 11:54:39	378114242 | 7618 | 85 | 3 | 575999069765158142357857498718567955660103464021839031350677926065655503000837678997815951360
2024-05-23 11:54:39	706956626 | 3298 | 97 | 8786 | 91839543289208319158255616
2024-05-23 11:54:39	767887022 | 5864693 | 84 | 4 | 74473111121840986797908378228211546539806194627752769691402497847795984364847222489088
2024-05-23 11:54:39	598512315 | 9873173 | 70 | 7 | 494143574912094699520
2024-05-23 11:54:39	384311601 | 63948710 | 15 | 322 | 215967663436916487380176982998084117747479631120165909525293867201082973237542912
2024-05-23 11:54:39	226448741 | 5441733 | 55 | 100 | 840385121490313194541283559623931573211802210524663728096411648
2024-05-23 11:54:39	180139272 | 8821 | 52 | 996 | 4335899296336665993172935810116479176959431675725479936
2024-05-23 11:54:39	497844986 | 187544 | 12 | 182 | 95737120034120515740729067163034212462488746715691730322241131380736
2024-05-23 11:54:39	531216935 | 287638 | 21 | 635 | 49077994830445231996928
2024-05-23 11:54:39	882279607 | 3517 | 80 | 2 | 6697437093712104209660646743051620554415013888
2024-05-23 11:54:39	128667987 | 1413836 | 32 | 766 | 5009204673348412466398678318958664294644291133053850567703926540278431744
2024-05-23 11:54:39	755115909 | 4091814 | 11 | 964 | 7842422330
2024-05-23 11:54:39	294471117 | 7243851 | 40 | 321 | 711306849360814429579964962538334867303126526811699567223905950079091998720
2024-05-23 11:54:39	393547257 | 24687 | 81 | 96 | 14843495327937703841149488972784862340752450473775071232
2024-05-23 11:54:39	664397138 | 37766 | 72 | 8 | 638243827741294665933456628386084256780042408453017827303457548425756672
2024-05-23 11:54:39	159210484 | 2424726 | 43 | 2 | 91630581389822614510422678784261789647236702670036706162376704
2024-05-23 11:54:39	947968842 | 95779887 | 81 | 98 | 612014408501335844626929808245291812643727173023243978276025505882832896
2024-05-23 11:54:39	441416495 | 12050 | 56 | 40 | 85367384993124793963862032384
2024-05-23 11:54:39	199425023 | 95457 | 98 | 2456 | 43296060719407638965574914210888573843467052536751488394321339775561502041915601769707899135763415040
2024-05-23 11:54:39	969068881 | 4926 | 28 | 6446 | 1457309102037827718527188998230570288934717976891009691294421345244387612260717469352695230214935937024
2024-05-23 11:54:39	678690715 | 867984 | 35 | 10 | 19288167771574624616297818533459318133211185836720128
2024-05-23 11:54:39	104205763 | 8115216 | 33 | 172 | 1572592551445175875727976115222872064
2024-05-23 11:54:39	385243633 | 50539526 | 66 | 6091 | 1002043125623
2024-05-23 11:54:39	670589127 | 88239088 | 84 | 39 | 79156243904187189952512
2024-05-23 11:54:39	570795073 | 55520860 | 14 | 46 | 83277911572263413846558469030711392322037658774409685328522513130417763906029899740590863548416
2024-05-23 11:54:39	982777068 | 382057 | 68 | 851 | 203692323695454231192109829849088
2024-05-23 11:54:39	863084248 | 25931 | 92 | 8 | 8948922801
2024-05-23 11:54:39	335063144 | 2111 | 12 | 5969 | 1968470524131998061814609608286543687982914232693216032027772307211307815246914673837977016205312
2024-05-23 11:54:39	607508752 | 205415 | 67 | 1224 | 3110884508482541744471652112470483242325296442818529463525034576237500433432576
2024-05-23 11:54:39	755853715 | 14184770 | 14 | 4873 | 860983491603564584165826229009709709578469376
2024-05-23 11:54:39	663477093 | 17916675 | 87 | 54 | 56714506114023045337384603570054315976425472
2024-05-23 11:54:39	440406493 | 3219502 | 19 | 9 | 75424403600961355776
2024-05-23 11:54:39	284003319 | 8667 | 24 | 817 | 100843059605359480088405614272086106177536
2024-05-23 11:54:39	322310186 | 2949 | 11 | 78 | 7506939188312341483272779783764973715456
2024-05-23 11:54:39	736576259 | 19236 | 40 | 162 | 30329737745229311247541948317273398267015593984
2024-05-23 11:54:39	225971045 | 2483735 | 20 | 1 | 5312069303623328212384900122043476845564788736
2024-05-23 11:54:39	443896542 | 166651 | 97 | 6736 | 19640867226128801792
2024-05-23 11:54:39	117566504 | 4406 | 47 | 2844 | 4087677308382077389576690878046254952422210607549251584
2024-05-23 11:54:39	665796111 | 593371 | 34 | 545 | 41494473357680511455060186695983519978220391512743331240930121077701149624826951892992
2024-05-23 11:54:39	272175854 | 582639 | 62 | 1090 | 128779966787937460662392848384
2024-05-23 11:54:39	600287845 | 875021 | 25 | 99 | 73312423477360259743132680192
2024-05-23 11:54:39	903155787 | 647837 | 16 | 97 | 17551033487412151959158784
2024-05-23 11:54:39	408953053 | 90968801 | 19 | 7541 | 45934397395172241502365266794594313991459526735710354329588031868055149659014085738496
2024-05-23 11:54:39	624613640 | 218790 | 34 | 162 | 900597156606365320607812287028938481432049735786561536
2024-05-23 11:54:39	385627325 | 26244073 | 58 | 947 | 7619831494
2024-05-23 11:54:39	848213614 | 7782 | 24 | 12 | 7480475673555812352
2024-05-23 11:54:39	120721714 | 420730 | 45 | 719 | 46486155066008918233996038931995140253790713173259449873649381066932224
2024-05-23 11:54:39	699932728 | 6720 | 18 | 7343 | 4607401292435335825516860180315496632202165413248645048458805248
2024-05-23 11:54:39	378299969 | 91481 | 53 | 1 | 1452728075843412360061098805479581178515155196687068502655444441479774208
2024-05-23 11:54:39	181503136 | 941333 | 62 | 37 | 62134306017207667838272622788825382387712
2024-05-23 11:54:39	130358017 | 9750 | 39 | 158 | 62942427914621922111340816871766102679532433571840
2024-05-23 11:54:39	681581105 | 7289112 | 34 | 1 | 89510529962251076756215491078716575593405068596200938689003520
2024-05-23 11:54:39	496556323 | 18263990 | 28 | 9 | 1363355
2024-05-23 11:54:39	516857360 | 54070164 | 45 | 61 | 452094704912989683712
2024-05-23 11:54:39	192561686 | 70830 | 80 | 48 | 40001393622329189300232846734819963343686431948652487494053758105816556482735158245457920
2024-05-23 11:54:39	936637822 | 53502 | 10 | 381 | 1993239425334827173495741050628283519760958026245572383424741638144
2024-05-23 11:54:39	541814657 | 1031766 | 11 | 54 | 138205281562062244141167499748207828043563008
2024-05-23 11:54:39	457627593 | 454242 | 36 | 7 | 615735697907652185171065745911411873702050080380146873579610308608
2024-05-23 11:54:39	715659299 | 20858176 | 45 | 726 | 73551358578907565966166535825903823033697193532969166507429193510283302270059600150528
2024-05-23 11:54:39	164776877 | 2632 | 88 | 1171 | 674131613813013734486469854707764141793600290894560922775785138290688
2024-05-23 11:54:39	456390418 | 49400407 | 47 | 35 | 1967784504565331308385289887403108335456007760567547343550387432674274060358055035404288
2024-05-23 11:54:39	806475204 | 477627 | 19 | 5 | 417085245318722722381959885787663045754880
2024-05-23 11:54:39	439524380 | 362188 | 77 | 14 | 919839882931978215144554496
2024-05-23 11:54:39	819159176 | 21079 | 15 | 5559 | 6843898994742531006668758494608547095831477396915445227647297611754926768128
2024-05-23 11:54:39	628843627 | 5696081 | 64 | 8 | 180332505814444082724864
2024-05-23 11:54:39	969204868 | 39259486 | 79 | 16 | 20379210843829396643597711002565466740082024597274507608064
2024-05-23 11:54:39	887549853 | 8430 | 13 | 2 | 5446302162006681553520645965509788015035154432
2024-05-23 11:54:39	651152454 | 904894 | 42 | 386 | 57299745935235457528029401615470669062162388116685498274317171392549347007352820315339359614467571712
2024-05-23 11:54:39	121147819 | 43559 | 66 | 8 | 16469574440304529444380604156270142687926563518636359074292551579637550871929478053042605261407872090112
2024-05-23 11:54:39	842137982 | 675248 | 71 | 44 | 63582533
2024-05-23 11:54:39	455156606 | 9996875 | 26 | 3 | 76922467501501431808
2024-05-23 11:54:39	785853422 | 6387 | 86 | 168 | 1145392354438720084156182691840
2024-05-23 11:54:39	269476137 | 31591844 | 65 | 2 | 730895084662871684591566546982756683726407815306135728029696
2024-05-23 11:54:39	642266168 | 53565567 | 69 | 845 | 572264389073859861078635536449536
2024-05-23 11:54:39	618003376 | 534426 | 87 | 1226 | 888094888832724660429396162453270294073415041024
2024-05-23 11:54:39	576822038 | 5970 | 83 | 2819 | 88248
2024-05-23 11:54:39	713306266 | 4201 | 15 | 4175 | 2560311349248773632
2024-05-23 11:54:39	926328357 | 34064102 | 58 | 87 | 29702836223492017133205173693472048661144346335197026750228312363273673506816
2024-05-23 11:54:39	635142086 | 1046 | 62 | 18 | 240764078455314490377720328933620640127136944928072855029598495108019257344
2024-05-23 11:54:39	107787853 | 40316 | 37 | 9651 | 235514329118530437527718695272448
2024-05-23 11:54:39	126823217 | 823346 | 17 | 8 | 68921255873368870283361947335741596373501021066053548361242839345004544
2024-05-23 11:54:39	578780289 | 29028 | 35 | 5065 | 38834987438708311151607808
2024-05-23 11:54:39	703811329 | 923816 | 61 | 29 | 547254586694670080
2024-05-23 11:54:39	950290187 | 17107210 | 42 | 5609 | 147542364048370095995982437981768055889838220463858811837349545977028504849148330073629555618217984
2024-05-23 11:54:39	167865019 | 5553 | 32 | 1 | 86640548542022329538378944445207805952
2024-05-23 11:54:39	201097113 | 19093651 | 73 | 6 | 848138866018832363342326418215764593808789581882949597226773252013795819730763776
2024-05-23 11:54:39	678147056 | 88216573 | 39 | 233 | 61955041677151252358874183941741326355771152060626480268459786270358372352
2024-05-23 11:54:39	960742096 | 71743484 | 64 | 61 | 435072536264865514250629930079928344910072119296
2024-05-23 11:54:39	573658351 | 305311 | 63 | 5 | 686212026871498628397100847307070728096011057940087527344149889024
2024-05-23 11:54:39	128834553 | 187470 | 31 | 830 | 1403027038237145538956582228507508325153012754889409959979368004452352
2024-05-23 11:54:39	197860970 | 3282 | 22 | 462 | 911287128727517865020965592902032974234175700853847320974269270831280962054412828672
2024-05-23 11:54:39	976186516 | 78012860 | 53 | 5 | 541275675578659594791712465716098437424139832720347586582451804704604153275797831940667604992
2024-05-23 11:54:39	864622070 | 63214 | 11 | 1 | 496952657563700003729109743135769616624717148758373077507637248
2024-05-23 11:54:39	107122358 | 11273 | 10 | 8823 | 83583017028698015460801158212912082478704316348700556530086179967598592
2024-05-23 11:54:39	173232600 | 6826 | 19 | 117 | 586694985301437322249221725579475416138092516002087715619758435910457297198310315240784372076732481536
2024-05-23 11:54:39	619710568 | 9914 | 11 | 699 | 317227710154332219225184796118749230220065169647647375937561133929592035601742936670208
2024-05-23 11:54:39	634262680 | 422153 | 21 | 7737 | 86054331160356503652885217298432854488776704
2024-05-23 11:54:39	796345434 | 8478 | 41 | 2723 | 732086707529127936655360
2024-05-23 11:54:39	920870655 | 38488705 | 35 | 637 | 56336943745732458121592824734038890687690852210876036330615191857882851550844356485348615530271997952
2024-05-23 11:54:39	397067266 | 70007 | 48 | 67 | 429306257154188346129986989807418935378188076150377443838962746523648
2024-05-23 11:54:39	972663173 | 6448 | 58 | 9 | 36047577511290884456480339738104895852422491766988469542797073656857473203568640
2024-05-23 11:54:39	112755030 | 80603 | 14 | 11 | 7233825229334631846195802520447395303455195136
2024-05-23 11:54:39	198836886 | 8329 | 45 | 460 | 6240617197132891755815868057833883264836032889909480698489794985984
2024-05-23 11:54:39	506970908 | 142996 | 74 | 8 | 80233
2024-05-23 11:54:39	170418604 | 356120 | 78 | 76 | 327634915852364023625894854656
2024-05-23 11:54:39	650349448 | 92091848 | 17 | 1478 | 18376213856091089282118115010828378782978681069237685871645317194101275769428338285076383398702874624
2024-05-23 11:54:39	559501946 | 18659 | 98 | 26 | 27549236130588215336171729653334016
2024-05-23 11:54:39	170984820 | 53026821 | 27 | 984 | 1919817851298971904
2024-05-23 11:54:39	548160282 | 23599087 | 41 | 141 | 5427123
2024-05-23 11:54:39	134340416 | 4057826 | 80 | 4835 | 649496013371752310380233873608740082138452110625592358786937743014951379379888201964023345231115059200
2024-05-23 11:54:39	668069042 | 148483 | 78 | 486 | 33915077565333796392841248570033232825096699251945178660864
2024-05-23 11:54:39	775950645 | 483431 | 89 | 6836 | 100307663441638476362223228667599915280186862252555396609736704
2024-05-23 11:54:39	137704931 | 789513 | 11 | 17 | 25074662798251455439998135761169809408
2024-05-23 11:54:39	628700325 | 81837863 | 39 | 4 | 7987939117848614270021794692532862607805070180352
2024-05-23 11:54:39	223738258 | 98063 | 16 | 97 | 1841809829561252650977264383910091044919420618191087968392220940186027647603505627136
2024-05-23 11:54:39	167958150 | 45803738 | 59 | 366 | 1281574625001724957067345868388912361742960565541911277883992795853166724241711861596160
2024-05-23 11:54:39	908134184 | 97399 | 75 | 7233 | 76241658435546085209991235623951420954826749146597234262106017472760835473408
2024-05-23 11:54:39	720902567 | 9442 | 70 | 67 | 93089267591787674666384619483480856179877720400876221903598156212430962688
2024-05-23 11:54:39	559804281 | 2131 | 67 | 9173 | 2039534090063882334919878275308079468260689314612307944536711799816303328039635255296
2024-05-23 11:54:39	652846952 | 106703 | 42 | 4069 | 7635015309463349511394370025334885466718804612256114392426831352101903258417757816875586259255296
2024-05-23 11:54:39	931346655 | 9491033 | 11 | 846 | 5517077664095490642702774473027493776578399520627600221933322371072
2024-05-23 11:54:39	551893107 | 933220 | 86 | 10 | 696359544193016886740271345319725595963554405548032
2024-05-23 11:54:39	555903531 | 7291487 | 98 | 2 | 27648572616232168904006896845854418124541701879549820665856
2024-05-23 11:54:39	688684875 | 28321 | 55 | 6293 | 509727613910592914575316089664054493184
2024-05-23 11:54:39	645796449 | 87177766 | 17 | 44 | 28049
2024-05-23 11:54:39	943870865 | 8407542 | 68 | 978 | 5862181269225420334447517609703633799295795200
2024-05-23 11:54:39	164849368 | 33096 | 99 | 5 | 297392647397272370493226111152577847457372371027220934551182910188868695871714853461408073383936
2024-05-23 11:54:39	504131008 | 39018 | 98 | 16 | 64429961833470175546411308883595853038662506257851952972215839883264
2024-05-23 11:54:39	116310082 | 42956977 | 35 | 8824 | 873760185197877823754567318855590262882442950844858239868787798536007158985654272
2024-05-23 11:54:39	108030897 | 28155 | 79 | 9007 | 85415383926305139458048
2024-05-23 11:54:39	157517519 | 7784 | 13 | 9 | 71293381354651927177378403455587272510801168105867274999451997280536159621778981781504
2024-05-23 11:54:39	441561392 | 65409865 | 47 | 8907 | 107535857368703988818465527391879418304890436321280
2024-05-23 11:54:39	298341799 | 977814 | 32 | 38 | 556391272341471879333354907162682624325554260835598005787252514105811484228067405788103418314752
2024-05-23 11:54:39	999558797 | 9155 | 60 | 10 | 7659997371270562757246517657090394846925903281570488818654189917590311995202798226505728
2024-05-23 11:54:39	656025239 | 59569 | 34 | 3 | 417843561000268183151584870940342581928472346624
2024-05-23 11:54:39	531106177 | 93542605 | 15 | 6 | 17841826766076856320
2024-05-23 11:54:39	989272006 | 6046 | 19 | 32 | 73431627
2024-05-23 11:54:39	534077049 | 6664789 | 23 | 85 | 600398220096275322418708480223603560333828105020665538184027177471705088
2024-05-23 11:54:39	272053055 | 182983 | 58 | 580 | 634228820338903
2024-05-23 11:54:39	337688616 | 1885429 | 71 | 3638 | 37907403809443716278557748859807652118528
2024-05-23 11:54:39	258642016 | 5122019 | 13 | 1903 | 735120469959282753588315928886030425362802033843757952319828765380810222075904
2024-05-23 11:54:39	267892571 | 7524332 | 99 | 5 | 197018828211273924608
2024-05-23 11:54:39	981952573 | 7353410 | 56 | 8 | 123555
2024-05-23 11:54:39	133109187 | 26280 | 43 | 8 | 710978461411092463616
2024-05-23 11:54:39	204946349 | 559436 | 12 | 527 | 103878138656457075503671933273112576
2024-05-23 11:54:39	140201801 | 23252675 | 96 | 607 | 738766797669175603417038791323988854189631421485678592
2024-05-23 11:54:39	140927927 | 25613140 | 62 | 8 | 405288431953784850815246711872005663839527945371648
2024-05-23 11:54:39	824678915 | 334610 | 53 | 69 | 8983953547568780791670349658663885828307205323743738007979703756818222831075974188701319168
2024-05-23 11:54:39	228058362 | 3259811 | 70 | 3146 | 184286461687658121254670056094231055939973086425250791424
2024-05-23 11:54:39	165884516 | 41605 | 99 | 1807 | 9271372431198728
2024-05-23 11:54:39	150421553 | 74468434 | 61 | 7381 | 289818447484135
2024-05-23 11:54:39	714496942 | 6728442 | 47 | 7 | 134476725758359874373907502697998760428011530485760
2024-05-23 11:54:39	680683833 | 77303 | 66 | 224 | 43026598254895805820730326242364235434121963290223113156601984436928512
2024-05-23 11:54:39	119708546 | 3763 | 88 | 4230 | 3027981073926961615942662052912753187419747185249482296680013443513298253869902350031781888
2024-05-23 11:54:39	437686665 | 231285 | 47 | 27 | 458225641530389633694683208363299957428125311412850743326903012747503718219506109154066432
2024-05-23 11:54:39	732820872 | 2728 | 45 | 6 | 6998684716562541413221301423497369405509813931077303132364027637641544263276804899555304800256
2024-05-23 11:54:39	927748966 | 686155 | 40 | 7 | 16629945010921764897499151166756863907257764544512
2024-05-23 11:54:39	174890498 | 29384567 | 19 | 3 | 4992073228236336714049879729486860078868075481796271787049665869115125252751360
2024-05-23 11:54:39	363890284 | 92958625 | 64 | 5 | 625280699528194809000155853274899853643162463502336
2024-05-23 11:54:39	228084599 | 76901 | 33 | 38 | 596106799104784824529665665989249297183395342874202302216724108154935418337595487768938786676801536
2024-05-23 11:54:39	646138913 | 77644 | 54 | 7 | 193316052554008644173986245006852096
2024-05-23 11:54:39	319102071 | 4755 | 40 | 386 | 5953744688514186062569916664751214688445490315736484792979995717772122510823646807719936
2024-05-23 11:54:39	258759013 | 35698 | 21 | 9053 | 4191277625783312101002088284160
